fecha,procedencia,personas
2021-10-30,España,0
2021-10-30,América del Sur,2
2021-10-30,Francia,1
2021-10-30,Rusia,0
2021-10-30,Estonia-Letonia-Lituania,0
2021-10-30,Polonia,33
2021-10-30,Italia,4
2021-10-30,África,0
2021-10-30,Alemania,23
2021-10-30,R. Eslovaca,0
2021-10-30,América del Norte,0
2021-10-30,Austria,0
2021-10-30,R. Checa,4
2021-10-30,Europa,13
2021-10-30,Gran Bretaña,4
2021-10-30,Oceanía,0
2021-10-30,Asia y Oriente Próx.,2
2021-10-30,Residente,25
2021-10-31,Austria,0
2021-10-31,Oceanía,0
2021-10-31,Residente,9
2021-10-31,Italia,2
2021-10-31,Alemania,25
2021-10-31,R. Eslovaca,0
2021-10-31,España,13
2021-10-31,Gran Bretaña,4
2021-10-31,R. Checa,1
2021-10-31,África,0
2021-10-31,Francia,9
2021-10-31,América del Sur,1
2021-10-31,Rusia,0
2021-10-31,Europa,11
2021-10-31,Polonia,22
2021-10-31,América del Norte,0
2021-10-31,Estonia-Letonia-Lituania,13
2021-10-31,Asia y Oriente Próx.,0
2021-11-01,Residente,1
2021-11-01,R. Checa,2
2021-11-01,Italia,2
2021-11-01,Polonia,6
2021-11-01,Alemania,38
2021-11-01,España,25
2021-11-01,Asia y Oriente Próx.,0
2021-11-01,R. Eslovaca,6
2021-11-01,América del Norte,1
2021-11-01,Estonia-Letonia-Lituania,6
2021-11-01,Gran Bretaña,2
2021-11-01,Austria,0
2021-11-01,África,0
2021-11-01,Oceanía,0
2021-11-01,Rusia,1
2021-11-01,Europa,20
2021-11-01,Francia,6
2021-11-01,América del Sur,0
2021-11-06,España,28
2021-11-06,R. Checa,0
2021-11-06,América del Norte,0
2021-11-06,Residente,7
2021-11-06,R. Eslovaca,0
2021-11-06,Austria,0
2021-11-06,Francia,3
2021-11-06,América del Sur,1
2021-11-06,Asia y Oriente Próx.,0
2021-11-06,Polonia,24
2021-11-06,Oceanía,0
2021-11-06,Estonia-Letonia-Lituania,10
2021-11-06,Italia,1
2021-11-06,África,0
2021-11-06,Rusia,0
2021-11-06,Gran Bretaña,2
2021-11-06,Alemania,26
2021-11-06,Europa,27
2021-11-07,R. Eslovaca,0
2021-11-07,Italia,0
2021-11-07,América del Sur,0
2021-11-07,Residente,1
2021-11-07,América del Norte,0
2021-11-07,Oceanía,0
2021-11-07,África,0
2021-11-07,R. Checa,0
2021-11-07,Europa,20
2021-11-07,Asia y Oriente Próx.,0
2021-11-07,Alemania,39
2021-11-07,Estonia-Letonia-Lituania,15
2021-11-07,Rusia,0
2021-11-07,Austria,4
2021-11-07,Polonia,16
2021-11-07,Francia,6
2021-11-07,España,16
2021-11-07,Gran Bretaña,0
2021-11-13,Asia y Oriente Próx.,0
2021-11-13,América del Sur,0
2021-11-13,Austria,1
2021-11-13,América del Norte,0
2021-11-13,Oceanía,0
2021-11-13,España,17
2021-11-13,Polonia,11
2021-11-13,Italia,0
2021-11-13,Residente,12
2021-11-13,Gran Bretaña,10
2021-11-13,R. Checa,2
2021-11-13,Europa,21
2021-11-13,Francia,3
2021-11-13,Estonia-Letonia-Lituania,5
2021-11-13,R. Eslovaca,0
2021-11-13,Alemania,39
2021-11-13,Rusia,0
2021-11-13,África,0
2021-11-14,América del Sur,0
2021-11-14,España,7
2021-11-14,América del Norte,0
2021-11-14,Francia,4
2021-11-14,Gran Bretaña,0
2021-11-14,Rusia,1
2021-11-14,Austria,2
2021-11-14,Alemania,44
2021-11-14,Residente,6
2021-11-14,África,0
2021-11-14,Italia,3
2021-11-14,Estonia-Letonia-Lituania,7
2021-11-14,Asia y Oriente Próx.,0
2021-11-14,Europa,0
2021-11-14,R. Checa,13
2021-11-14,Oceanía,0
2021-11-14,R. Eslovaca,4
2021-11-14,Polonia,26
2021-11-20,Europa,15
2021-11-20,Alemania,37
2021-11-20,Austria,1
2021-11-20,Italia,0
2021-11-20,África,0
2021-11-20,Asia y Oriente Próx.,0
2021-11-20,Estonia-Letonia-Lituania,4
2021-11-20,R. Eslovaca,1
2021-11-20,Francia,10
2021-11-20,Residente,5
2021-11-20,América del Sur,0
2021-11-20,Oceanía,0
2021-11-20,América del Norte,0
2021-11-20,R. Checa,6
2021-11-20,Rusia,0
2021-11-20,Polonia,13
2021-11-20,Gran Bretaña,16
2021-11-20,España,3
2021-11-21,Polonia,17
2021-11-21,Rusia,0
2021-11-21,Asia y Oriente Próx.,0
2021-11-21,África,0
2021-11-21,Italia,19
2021-11-21,América del Sur,0
2021-11-21,R. Eslovaca,2
2021-11-21,Francia,3
2021-11-21,Residente,0
2021-11-21,Alemania,46
2021-11-21,R. Checa,0
